Time,Temperature,Sound,Light,Pressure,Humidity,Comment
s,°C,dBA,lx,kPa,%RH,

554.88,35.2,65.1,121,97.16,59.0,
556.8,35.2,66.8,121,97.13,59.0,
558.72,35.2,61.9,121,97.13,59.0,
560.64,35.2,40.0,121,97.12,59.0,
562.56,35.2,47.7,121,97.15,58.9,
564.48,35.2,50.3,121,97.16,58.9,
566.4,35.2,63.5,120,97.16,58.9,
568.32,35.2,73.6,121,97.13,58.9,
570.24,35.2,57.0,121,97.13,58.9,
572.16,35.2,40.0,121,97.14,58.9,
574.08,35.2,70.3,121,97.14,58.9,
576,35.2,40.0,121,97.14,58.8,
577.92,35.2,63.1,120,97.15,58.8,
579.84,35.2,62.7,121,97.16,58.8,
581.76,35.2,40.0,121,97.13,58.8,
583.68,35.2,63.1,120,97.14,58.7,
585.6,35.2,60.3,120,97.18,58.7,
587.52,35.2,57.1,120,97.15,58.7,
589.44,35.2,62.6,120,97.14,58.7,
591.36,35.2,65.7,120,97.16,58.6,
593.28,35.2,40.0,120,97.15,58.6,
595.2,35.2,75.0,120,97.15,58.6,
597.12,35.2,57.2,120,97.17,58.6,
599.04,35.2,67.1,120,97.16,58.6,
600.96,35.2,40.0,120,97.15,58.6,
602.88,35.3,58.4,120,97.13,58.5,
604.8,35.3,40.0,121,97.15,58.5,
606.72,35.3,63.5,121,97.16,58.5,
608.64,35.3,74.0,118,97.14,58.5,
610.56,35.3,62.7,106,97.13,58.5,
612.48,35.3,40.0,90,97.17,58.5,
614.4,35.3,40.0,82,97.16,58.5,
616.32,35.3,64.7,99,97.14,58.4,
618.24,35.3,63.7,79,97.16,58.4,
620.16,35.3,65.4,29,97.12,58.4,
622.08,35.3,58.4,4,97.14,58.4,
624,35.3,64.1,4,97.15,58.4,
625.92,35.3,44.1,4,97.16,58.4,
627.84,35.3,47.2,4,97.12,58.3,
629.76,35.3,73.2,4,97.13,58.3,
631.68,35.3,40.0,50,97.12,58.3,
633.6,35.3,70.2,99,97.14,58.3,
635.52,35.3,61.5,53,97.16,58.4,
637.44,35.3,40.0,43,97.14,60.9,
639.36,35.3,53.5,69,97.18,62.7,
641.28,35.3,63.4,108,97.13,63.6,
643.2,35.3,70.1,115,97.15,63.8,
645.12,35.3,74.4,108,97.13,63.8,
647.04,35.3,76.6,93,97.15,63.6,
648.96,35.4,64.5,58,97.15,63.5,
650.88,35.3,56.6,57,97.14,63.3,
652.8,35.4,46.8,58,97.15,63.1,
654.72,35.4,43.0,59,97.14,63.0,
656.64,35.4,59.6,59,97.14,62.8,
658.56,35.3,55.9,59,97.14,62.7,
660.48,35.3,63.0,110,97.16,62.6,
662.4,35.4,62.5,115,97.13,62.4,
664.32,35.4,66.9,113,97.16,62.4,
666.24,35.4,40.0,67,97.12,62.3,
668.16,35.4,78.0,63,97.15,62.2,
670.08,35.4,67.9,72,97.14,62.0,
672,35.4,62.3,113,97.17,61.9,
673.92,35.4,65.6,114,97.15,61.7,
675.84,35.4,55.6,113,97.14,61.6,
677.76,35.4,40.0,115,97.16,61.5,
679.68,35.4,40.0,111,97.12,61.5,
681.6,35.4,40.0,92,97.12,61.4,
683.52,35.4,40.0,76,97.15,61.3,
685.44,35.4,68.0,106,97.14,61.2,
687.36,35.4,51.5,120,97.15,61.1,
689.28,35.4,68.2,120,97.12,61.0,
691.2,35.4,74.1,121,97.14,60.9,
693.12,35.4,73.2,121,97.14,60.9,
695.04,35.4,70.0,121,97.12,60.8,
696.96,35.5,53.5,121,97.14,60.7,
698.88,35.5,56.1,121,97.11,60.6,
700.8,35.4,64.3,121,97.17,60.5,
702.72,35.5,40.0,121,97.16,60.4,
704.64,35.5,58.0,121,97.13,60.4,
706.56,35.4,40.0,121,97.14,60.3,
708.48,35.5,66.5,121,97.16,60.2,
710.4,35.5,58.9,120,97.09,60.2,
712.32,35.5,68.2,120,97.15,60.2,
714.24,35.5,55.4,120,97.16,60.1,
716.16,35.5,63.6,121,97.14,60.1,
718.08,35.5,67.6,121,97.14,60.1,
720,35.5,40.0,121,97.11,60.0,
721.92,35.5,61.2,121,97.15,60.0,
723.84,35.5,40.0,83,97.14,59.9,
725.76,35.5,40.0,69,97.13,59.9,
727.68,35.5,74.1,69,97.14,59.8,
729.6,35.5,40.0,69,97.14,59.8,
731.52,35.5,40.0,69,97.16,59.7,
733.44,35.5,40.0,69,97.15,59.7,
735.36,35.5,40.0,10,97.15,59.6,
737.28,35.5,40.0,1,97.14,59.6,
739.2,35.5,47.9,1,97.12,59.5,
741.12,35.5,61.5,1,97.16,59.5,
743.04,35.5,40.0,1,97.14,59.4,
744.96,35.5,40.0,1,97.13,59.4,
746.88,35.5,65.1,1,97.15,59.3,
748.8,35.5,40.0,1,97.13,59.3,
750.72,35.5,40.0,26,97.13,59.3,
752.64,35.5,40.0,63,97.13,59.2,
754.56,35.5,40.0,64,97.15,59.2,
756.48,35.5,40.0,64,97.14,59.1,
758.4,35.5,63.0,69,97.16,59.1,
760.32,35.5,70.3,92,97.15,59.1,
762.24,35.5,40.0,105,97.15,59.0,
764.16,35.5,56.9,107,97.14,59.0,
766.08,35.5,70.8,36,97.15,59.0,
768,35.5,40.0,1,97.17,59.0,
769.92,35.5,55.0,1,97.16,58.9,
771.84,35.5,57.1,1,97.14,58.9,
773.76,35.5,40.0,1,97.16,58.9,
775.68,35.5,61.7,1,97.16,58.9,
777.6,35.5,40.0,1,97.17,58.8,
779.52,35.5,40.0,1,97.14,58.8,
781.44,35.5,40.0,24,97.15,58.8,
783.36,35.5,59.1,82,97.15,58.8,
785.28,35.5,58.3,94,97.16,58.8,
787.2,35.5,50.4,96,97.14,58.7,
789.12,35.5,43.1,96,97.13,58.7,
791.04,35.5,40.0,93,97.12,58.7,
792.96,35.5,40.0,18,97.12,58.8,
794.88,35.5,44.8,4,97.15,59.4,
796.8,35.5,40.0,44,97.14,59.6,
798.72,35.5,50.5,92,97.15,59.7,
800.64,35.5,40.0,92,97.12,59.6,
802.56,35.5,69.9,78,97.16,59.5,
804.48,34.9,63.3,83,97.13,59.5,
806.4,33.9,40.0,83,97.14,59.4,
808.32,32.8,55.3,86,97.15,59.3,
810.24,31.7,40.0,87,97.16,59.3,
812.16,30.7,40.0,94,97.15,59.2,
